Venom,"When Eddie Brock acquires the powers of a symbiote, he will have to release his alter-ego Venom to save his life.",2018,7,"Action, Sci-Fi",http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt,"99,112"
Titans,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,2018,8.2,"Action, Adventure, Drama",http://www.imdb.com/title/tt1043813/?ref_=adv_li_tt,"4,393"
Daredevil,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",2015,8.7,"Action, Crime, Drama",http://www.imdb.com/title/tt3322312/?ref_=adv_li_tt,"303,126"
Game of Thrones,"Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.",2011,9.5,"Action, Adventure, Drama",http://www.imdb.com/title/tt0944947/?ref_=adv_li_tt,"1,365,323"
The Flash,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.",2014,7.9,"Action, Adventure, Drama",http://www.imdb.com/title/tt3107288/?ref_=adv_li_tt,"258,589"
Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",2012,7.7,"Action, Adventure, Crime",http://www.imdb.com/title/tt2193021/?ref_=adv_li_tt,"364,452"
Destroyer,A police detective reconnects with people from an undercover assignment in her distant past in order to make peace.,2018,6.9,"Action, Crime, Drama",http://www.imdb.com/title/tt7137380/?ref_=adv_li_tt,340
The Spy Who Dumped Me,Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,2018,6.2,"Action, Adventure, Comedy",http://www.imdb.com/title/tt6663582/?ref_=adv_li_tt,"18,033"
Ant-Man and the Wasp,"As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",2018,7.2,"Action, Adventure, Comedy",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,"130,946"
Supergirl,The adventures of Superman's cousin in her own superhero career.,2015,6.5,"Action, Adventure, Drama",http://www.imdb.com/title/tt4016454/?ref_=adv_li_tt,"87,743"
